station_id,station_name,lat,lon,total_departures,total_arrivals,mean_departures,mean_arrivals,mean_net_flow,std_net_flow
735,"Grant Road East, Clapham Junction",51.464894,-0.173029,2170,2351,1.4351851851851851,1.55489417989418,-0.11970899470899471,2.158101212130375
736,"Queensdale Road, Shepherd's Bush",51.50659,-0.216104,543,581,0.35912698412698413,0.38425925925925924,-0.02513227513227513,0.877336145277306
737,"Fulham Broadway, Walham Green",51.479932,-0.194116,3334,3283,2.205026455026455,2.1712962962962963,0.03373015873015873,2.5028481144991566
738,"Imperial Road, Sands End",51.475142,-0.187278,966,785,0.6388888888888888,0.5191798941798942,0.11970899470899471,1.213571140045283
739,"Hortensia Road, West Brompton",51.481765,-0.185273,1069,1094,0.707010582010582,0.7235449735449735,-0.016534391534391533,1.7069536300216537
740,"Sirdar Road, Avondale",51.510928,-0.214594,419,471,0.2771164021164021,0.3115079365079365,-0.03439153439153439,0.8062510739937698
741,"Freston Road, Avondale",51.512981,-0.219486,522,532,0.34523809523809523,0.35185185185185186,-0.006613756613756613,0.9029453468658984
742,"Blenheim Crescent, Ladbroke Grove",51.515108,-0.208565,1312,1356,0.8677248677248677,0.8968253968253969,-0.0291005291005291,1.666963930924033
743,"Oxford Road, Putney",51.460792,-0.212607,521,513,0.3445767195767196,0.3392857142857143,0.005291005291005291,0.8343857923853498
744,"Ingrave Street, Clapham Junction",51.467454,-0.172293,307,286,0.20304232804232805,0.18915343915343916,0.013888888888888888,0.7865128548027106
745,"Upcerne Road, West Chelsea",51.478169,-0.182435,878,818,0.5806878306878307,0.541005291005291,0.03968253968253968,1.128893453166836
746,"Lots Road, West Chelsea",51.479573,-0.179038,1063,1057,0.703042328042328,0.6990740740740741,0.003968253968253968,1.4005709789790377
747,"Ormonde Gate, Chelsea",51.487964,-0.161765,1485,1431,0.9821428571428571,0.9464285714285714,0.03571428571428571,1.5149970411827451
748,"Hertford Road, De Beauvoir Town",51.537277,-0.079201,1892,1522,1.2513227513227514,1.0066137566137565,0.2447089947089947,2.5302220472082033
749,"Haggerston Road, Haggerston",51.539328,-0.074284,1544,1419,1.0211640211640212,0.9384920634920635,0.08267195767195767,2.0989212831373054
